fname_c1,fname_c2,lname_c1,lname_c2,by,bm,bd
PETER,,SCHWARZ,,1969,11,28
WERNER,,KOERTIG,,1962,2,9
JUERGEN,,HAAS,,1963,4,8
GERHARD,,GUENTHER,,1927,2,21
HORST,,SCHMIDT,,1925,5,22
MANFRED,,PETERS,,1974,3,19
GUENTHER,,MUELLER,,1955,11,1
ANDREAS,,BAUER,,1994,8,9
JOACHIM,,BECKER,,1958,1,6
PETER,,WEBER,,1952,10,3
HANS,,SIMON,,1983,7,30
JUERGEN,,HOFFMANN,,1986,11,25
HARALD,,MOELLER,,2007,3,15
JUERGEN,,SAUER,,1942,9,8
JUERGEN,,BERGMANN,,1951,11,13
DIRK,,SCHNEIDER,,1966,11,25
HELMUT,,HERRMANN,,1928,1,26
PETER,,FRANK,,1990,7,1
PETER,,KAISER,,1991,5,1
KURT,,WEBER,,1965,5,11
HOLGER,,BERGER,,1997,12,7
PETER,,MUELLER,,1993,7,11
GUENTHER,,WAGNER,,1992,1,19
WALTER,,SCHNEIDER,,1953,11,22
NILS,,PETERS,,1949,10,4
DIETER,,RICHTER,,1965,9,29
MANFRED,GERHARD,WAGMER,,1925,3,9
ROLMF,,SCHUBERT,,1983,10,13
MICHAEL,,SCHMIDT,,1996,9,19
HEINZ,,SCHUULZ,,1979,2,18
KURT,,SCHMIDT,,1974,5,11
JUERGEN,,MUELLER,,1940,11,26
RENE,,KAISER,,1937,12,31
JENS,,SCHULZ,,1966,8,31
JENS,,ERNST,,1985,8,6
ROLF,,STEIN,,1953,6,23
JUERGEN,,SIMON,,1971,4,24
JENS,,SIMON,,1979,9,1
UWE,,RICHTER,,1987,9,11
ROBERT,,LANG,,2007,9,24
PAUL,FRANK,MUELLER,,1981,7,2
HERMANN,GERHARD,HUBSR,,2007,5,8
MARCO,,SCHMLID,,1961,7,10
PETER,HERBERT,HOFMANN,,1997,6,1
FRANK,,PFEIFFER,,1978,5,16
JENS,,MUELLER,,1926,5,2
DIETER,,KOERTIG,,1968,4,12
PATRICK,,FRIEDRICH,,1984,11,7
THORSTEVN,,MUELLER,,1951,3,28
GERHARD,,MAIER,,1950,1,2
THOMAS,,WOLFF,,1962,11,16
DIETER,ERNST,WEBER,,1942,8,12
STEFAN,,FRIEDRICH,,1967,4,1
STEFAN,,SCHMIDT,,1998,5,11
HEINZ,,KRAEMER,,1965,1,17
MATTHIAS,,PETERS,,1944,11,12
FRANK,,MUELLER,,2004,10,24
STEFAN,,FRANK,,1969,1,30
HEIKCO,,KAISER,,1972,11,27
KLAUS,,POHL,,1949,15,25
ANDREAS,,LORENZ,,1954,7,10
GERHARD,,KRUEGER,,1991,3,21
HARALD,,KRAUS,,1940,7,31
JUERGEN,,SCHMID,,1962,12,11
ANDREAS,,HARTMANN,,1945,12,19
GUENTHER,,MEYER,,1969,4,16
MARK,,HUBER,,1954,12,30
UWE,,BECKER,,1941,4,27
PETER,,KRAUS,,1950,6,3
MATTHIAS,,MEYER,,2001,4,16
HORST,,GROSS,,1940,4,19
THOMAS,,ZIMMERMANN,,1970,2,20
THOMAS,,FUCHS,,1991,2,14
JAN,,HERRMANN,,1961,3,13
AXEL,CHRISTOPH,KRUEGER,,1943,8,2
GUENTHER,,NEUMNNN,,2002,8,5
WOLFGANGR,,KOCH,,2003,4,14
KARL,,MUELLER,,1956,8,22
HANS,,MAIER,,1948,4,30
REINHARD,PAUL,HAHN,,1970,6,1
JENS,,SCHMIDT,,1939,4,28
ULRICH,KLAUS,VOGT,,2006,11,9
CHRISTIAN,,SCHROEDER,,2008,8,26
KLAUS,,KELLER,,1974,12,7
STEFAN,,HOFMANN,,1983,11,3
DIETER,,SCHAEFER,,1960,2,1
GERD,,HOFMANN,,1967,12,27
GERD,,NEUMANN,,1958,7,27
MICHAEL,,SCHUSTER,,1965,4,17
KURT,,MUELLER,,1937,10,1
OLIVER,,LUDWIG,,1948,12,25
PETER,,OTTO,,1958,6,5
WOLFGANG,,SCHMITZ,,1958,1,2
HERBERT,,ALBRECHT,,1985,12,8
MATTHIAS,,MEIER,,1958,6,20
HANS,,SCHMIDT,,2000,5,29
NORBERT,,KAISER,,1939,4,11
PETER,,WEBER,,1989,10,14
RUDOLF,,FRIEDRICH,,2003,4,15
HEINZ,,FISCHER,,1981,5,26
SVEN,,BECKER,,1961,5,28
GUENTHER,,WEBERH,,1967,5,12
HORQST,,GUENTHER,,1965,1,8
RAINER,,RICHTER,,1977,4,16
JUERGEN,KLAUS,SCHUSTER,,1998,12,28
JOERG,,SCHAEFER,,1994,3,14
MANFREQD,,BAUER,,1997,9,7
WOLFGANG,,LEHMANN,,2008,5,29
JOACHIM,,POHL,,1985,2,8
CHRISTIAN,,SCHDIDT,,1990,5,3
OLAF,,MEYER,,1939,7,28
DANIEL,,BECK,,2008,6,10
JUERGEN,,SCHMIRT,,1974,1,17
BERND,,PFEIFFER,,1959,8,29
AXEL,,MUELLER,,2002,8,8
UWE,,FISCHER,,1970,11,1
KLAUS,,KRAUSE,,1990,10,10
FRANK,,JAEGER,SCHUMACHER,1966,6,26
HANS,,SCHMIDT,,1944,4,20
GEORG,,BUSCH,,1996,9,6
JUERGEN,,SCHULZ,,2002,4,30
ROLF,ROLF,RICHTER,,1963,3,19
WERNER,,SCHNEIDER,,1966,7,5
DIRK,,MUELLER,,1977,3,9
JOERG,,HARTMANN,,2008,6,14
SVEN,,MUELLER,,1967,8,27
KLAUS,,JUNG,,1965,5,30
GUENTHER,,HERRMANN,,1963,10,29
WILLI,,PETESR,,1963,7,9
JUERGEN,,KOCH,,1941,6,21
HEINRICH,,KRAUSE,,2005,6,9
PETER,,OTTO,,1956,3,24
ERWIN,DENNIS,SCHWARZ,,2008,9,29
THOMAS,,LANGE,,1932,12,11
THORSTEN,,SCHOLZ,,1963,12,23
RAINER,,SCHULZE,,1941,8,26
NORBERT,,WALTER,,1974,1,25
UWE,,BRCK,,1984,12,6
PETER,,SCHNEODER,,1928,5,8
ROLF,,WOLF,,1939,10,25
DANIEL,,MUELLER,,1965,6,27
GUENTHER,,MUELLER,,1987,5,5
MARCO,,SCHROEDER,,2003,2,2
WALTER,,SCHMIDT,,1959,7,10
KURT,,VOIGT,,1966,5,5
HERBERT,,BERGER,,1950,1,1
MARKUS,,MAIER,,1973,11,14
HARALD,,SCHAEFER,,1943,7,21
PETER,,HOFFMANN,,1940,8,18
OLIVER,,POHL,,1969,2,23
HEINRICH,,GRAF,,1966,5,10
STEFAN,,WERNER,,1966,10,13
HARALD,,BECKER,,1954,8,25
KLAUS,,DIETRICH,,1947,8,15
JOERG,,VOGEL,,1963,12,29
THOMAS,,WAGNER,,1954,1,25
HANS,,MEYER,,1947,1,17
ANDREAS,,HOFFMANN,,1937,12,24
WERNER,,MEYER,,1998,6,3
FRANK,,WAGNER,,1991,7,30
HORST,,MUELLER,,1967,3,20
KLAUS,,LANG,,1933,8,21
JOERG,,SCHMIDT,,1946,7,1
JAN,,KUEHN,,1966,9,29
HERMANN,,MUELLER,,1990,10,2
THOMAS,,SCHULZE,,1958,6,26
WALTER,,HUBER,,1965,9,11
CHRISTIAN,,NEUMANN,,1935,5,10
RUDOLF,,WALTER,,1953,4,13
ULRICH,,KOCH,,1982,10,5
JUERGEN,,MUELLER,,2007,11,5
NORBERT,,WINTER,,1930,9,29
ALEXANDER,,WINKLER,,1958,4,16
PETER,,BRANDT,,1994,5,25
RUDOLF,,WEBER,,1983,1,10
GERHARD,,BOEHM,,1962,8,3
HEINZ,,WAGNER,,1957,4,16
WILHELM,,BERGMANN,,1964,11,20
RAINER,,WAGNXER,,1974,1,2
CHRISTIAN,,LORENZ,,1995,5,26
JOERG,,MAIER,,1944,6,3
OTTO,,RICHTER,,1990,12,19
ANDREAS,,BOEHM,,1961,3,19
GUENTHER,,SCHROEDER,,1992,5,19
KLAUS,,WALTER,,1968,1,18
UWE,,RICHTER,,1989,10,12
GEORG,,SCHUMACHER,,1999,11,17
MARK,,HOFFMANN,,1978,11,12
ANDREAS,,KELLER,,1999,8,29
THOMAS,,KRAUSE,,1958,8,18
UWE,,MOELLER,,1936,9,5
ALEXANDER,,HAAS,,1957,10,29
GUENTHER,,KLEIN,,1949,12,5
MICHAEL,,SOMMER,,1940,4,7
VOLKER,,WALTER,,1947,8,2
UWE,,HERRMANN,,1981,3,19
HANS,,PFEIFFER,,1970,12,1
KURT,,HOFFMANN,,1942,11,3
FRANK,,WEBER,,1970,3,7
DIRK,,NEUMANN,,1997,1,14
JOERG,,WEBER,,1995,4,1
MARKUS,,KRAUSE,,1958,12,2
PETER,,SCHNEIDER,,1969,12,16
ANDRUEAS,RALF,KOEHLER,,1958,7,29
DIETER,,MAYER,,1955,3,10
WERNER,,WALTER,,2006,3,2
HORST,,RICHTER,,1973,1,2
WALTER,,FUCHS,,1990,3,25
WOLFGANG,,SCHMIDT,,1995,9,30
THORSTEN,,SCHMIDT,,1966,7,5
KLAUS,,KLEIN,,2003,8,10
UWE,MAIK,MUELLER,,1939,1,4
MARKUS,,VOGEL,,1970,5,13
ANDREAS,,SCHMITZ,,1986,10,9
BJOERN,,SCHMITT,,1938,3,13
JUERGEN,,KRUEGER,,1952,8,7
RAINER,,FISCHER,,1954,1,19
MATTHIAS,,BECKER,,1959,8,5
UWE,,FRANKE,,1938,4,20
INGO,,MEIER,,1986,1,16
JUERGDEN,,LORENZ,,1950,3,18
SVEN,,SCHMID,,1928,1,1
RAINER,,BECKER,,1985,11,22
PETER,,BAUMANN,,1931,2,12
PETER,,SCHNEIDER,,1953,3,1
JUERGEN,,SCHROEDER,,1962,11,8
DETLEF,,SCHULZ,,1971,11,10
SVEN,,SCHMIDT,,1972,7,10
FRANKV,,BAUER,,1996,4,16
OLAF,,STEIN,,1930,2,6
CARSTEN,,SCHULTE,,1962,12,29
CHRISTIAN,,SCHNEIDER,,1955,11,6
OLIVER,,KRAUS,,1978,12,19
KARL,,VOGT,,1942,3,19
ALEXANDER,,VOGEL,,1934,3,12
THORSTEN,,KLEIN,,1981,6,20
STEFAN,,HOFMANN,,1988,8,5
UWE,,THOMAS,,1950,4,22
HORST,,ZIMMERMANN,,1974,9,21
JUERGEN,,SCHMIDT,,1962,6,14
ROLF,,SCHNEIDER,,1957,5,12
JOERG,,KRAUSE,,1974,9,9
MATTHIAS,,SCHROEDER,,1976,9,3
PHILIPP,,BERGER,,1995,5,4
FRANK,,SCHROEDER,,1952,4,19
NORBERT,,ZIMMERMANN,,1966,1,27
JOACHIM,,BOEHM,,1986,5,20
CHRISTILAN,,WEBER,,1969,5,14
PAUL,,SCHAEFER,,1942,7,2
HEINRICH,BERND,BOEHM,,1936,7,7
HORST,,BRAUN,,1951,3,23
MARCO,,BECKER,,1963,3,6
WOLFGANG,,KELLER,,1998,7,22
CHRISTIAN,,HOFFMANN,,1966,10,14
HEINZ,,BECKER,,1967,2,10
BERND,,KUEHN,,2002,9,18
REINHARD,,FISCHER,,1977,8,26
JUERGEN,,PETERS,,1959,12,25
WILLI,,FRIEDRICH,,1964,10,22
SVENF,,KOCH,,1976,5,29
HEINZ,,SCHMITZ,,2007,8,19
RAINER,,SCHULZE,,1978,1,12
GERD,,KOCH,,1963,12,7
KLAUS,,HEINRICH,,1979,7,20
UWE,,HAAS,,1964,1,8
HANS,,KRAUS,,1940,3,19
ALEXANDER,,HOFFMANN,,1967,11,25
WERNER,,WERNER,,1962,1,6
HERMANN,,WINKLER,,1972,7,10
WALTER,,SCHUBERT,,1939,1,20
MATTHIAS,HOLGER,SEIDEL,,1982,8,18
ROLF,,SCHMIDT,,2004,11,21
WERNER,,FISCHER,,1976,7,14
HARALD,,WAGNER,,1981,8,14
HEINZ,,FISCHFER,,1980,4,29
ROLF,,SCHWARZ,,1941,6,14
ANDREAS,,KRUEGER,,1967,12,10
ALFRED,,SCHROEDER,,1962,6,14
MARTIN,,SCHNEIDER,,1971,7,12
JOACHIM,,BRAUN,,1931,3,1
MICHAEL,,SCHAEFER,,2005,1,28
RUDOLF,,MAIER,,1980,10,31
WOLFGANG,,MARTIN,,1949,4,19
WOLFGANG,,GRAF,,1952,6,8
FRANZ,,HOFMANN,,1984,3,16
INGGO,,MUELLER,,2007,5,9
MANFRED,,HARTMANN,,1961,6,13
PETER,,LORENZ,,1951,7,24
WOLFGANG,,MAYER,,2001,6,5
KARL,,MUELLER,,1941,3,6
ROLF,,RICHTER,,1996,5,18
ANDREAS,,SCHMIDT,,2005,6,24
GERHAHRD,,MUELLER,,2001,9,4
MATTHIAS,,SOMMER,,1992,6,23
HERMANN,,MUELLER,,1961,4,30
THOMAS,,PFEIFFER,,1962,5,21
WOLFGANG,,PFEIFFER,,1935,6,6
WERNER,,SCHNEIDER,,1984,7,4
CARSTEN,,KAISER,,1927,12,12
MARTIN,,HUBER,,1983,5,2
PETER,,VOGT,,2004,2,14
JUERGEN,,THOMAS,,1987,10,24
JENS,,BERGER,,1942,10,15
ANDREAS,,SCHUMACHER,,1989,2,9
MATTHIAS,JUERGEN,WEBER,,1969,7,27
WOLFGANG,,MEIER,,1954,2,9
THOMAS,,SCHMID,,1956,10,30
HEINZ,,LORENZ,,2003,2,4
MARTIN,,HARTMANN,,2006,4,30
THOQMAS,,SCHREIBER,,2004,12,15
BERND,,SCHULTE,,1980,3,12
FRANK,,RICHTER,,1954,9,5
ANDREAS,,LANG,,1931,8,14
ERWIN,,FRANKE,,1960,7,15
WOLFGANG,,ENGEL,,1965,8,8
CHRISTIAN,,SCHMIDT,,1945,5,19
STEFAN,,KOERTIG,,1981,10,8
MATTHIAS,,MUELLER,,1974,2,4
BENJAMIN,,VOGEL,,1941,5,15
ALEXANDER,,LORENZ,,1974,12,28
KARZL,,ALBRECHT,,1953,8,15
MICHAEL,,LEHMANN,,1936,3,21
FRANK,,WAGNER,,1969,4,18
GERHARD,,VOGEL,,1944,7,8
GUENTHER,,MUELLER,,1926,11,24
GERHARD,,MUELLER,,1951,7,8
JUERGEN,,MEYER,,1944,12,23
UWE,,SCHULZ,,1983,6,24
ROBERT,,SCHROEDER,,2001,12,14
HOLGER,,WAGNER,,1985,8,29
THOMAS,,SCHMID,,1932,10,26
HORST,,MAIER,,1969,1,14
DIETER,,SCHUMACHER,,1989,4,15
DIRK,,NEUMANN,,1977,7,28
RENE,,BERGER,JUNG,1450,9,23
PETER,,MOELLER,,1944,6,16
ANDREAS,,KUEHN,,1984,5,19
PETER,,SCHAEFER,,1976,4,21
UWE,,HERRMANN,,1956,9,7
GERHARD,,SCHMITT,,1967,11,27
OLIVER,,BAUER,,1996,4,6
THOMAS,,LANG,,1952,8,31
FRANK,,THOMAS,,1967,6,18
STEFAN,,FISCHER,,2007,3,24
UWE,JENS,SCHMIDT,,1969,12,17
GUENTHER,,SCHULZ,,1987,9,15
DIETER,HEINZ,KOEHLER,,1997,9,17
NILS,,FISCHER,,2003,6,14
THORSTEN,,MEIER,,1995,8,15
RUDOLF,,LANG,,1942,9,3
OTTO,,KRAEMER,,1957,2,9
ALEXANDER,,WEISS,,1952,1,9
PETER,,MUELLER,,1999,5,25
FRANK,,SCHMID,,1956,8,31
KURT,,LUDWIG,,1959,11,26
KLAUS,,KRAUS,,1926,3,11
HEINRICH,,ZIMMERMANN,,1956,11,21
JOERG,,MUELLER,,1960,8,24
RALF,WILHELM,SCHOLZ,,1969,6,13
LARS,,SCHMIDT,,1936,1,21
MATTHIAS,,BAUER,,1948,2,2
GEORG,,SIMON,,1954,10,14
MICHAEL,,LEHMANN,,1939,11,9
INGO,,FISCHER,,1968,2,23
MARTIN,,MUELLER,,2002,8,10
THOMAS,,SCHMIDT,,1960,8,31
ANDREAS,,SIMON,,1947,7,22
MANFRED,,LEHMANN,,1952,1,10
HORST,CHRISTIAN,BERGMANN,,2003,2,20
WILHELM,,FISCHER,,1994,8,18
HEINZ,,SCHOLZ,,1938,12,28
THOMAS,,JAEGER,,1943,6,9
WERNER,JUERGEN,SCHUMACHER,,1925,1,10
NORBERT,,HARTMANN,,1941,2,16
HANS,,BRAUN,,1970,6,3
HORST,,SCHNEIDER,,1982,5,3
KLAUSN,,SCHMIDT,,2003,12,10
JUERGEN,ALEXANDER,MUELLER,,1980,4,6
MICHAEL,,SCHROEDER,,1994,2,4
CARSTEN,,BECKER,,1963,6,17
GERHARD,,SCHULZE,,1964,6,14
WERNER,,ZIMMERMANN,,1955,11,23
DIRK,,RICHTER,,1980,11,26
MARKUS,,SIMON,,1951,7,4
MATTHIAS,,MEYER,,1967,10,4
JUERGEN,,LORENZ,,1982,2,26
KLAUS,,KRAEMER,,1999,12,25
HANS,,KLEIN,,1994,5,1
CHRISTIAN,,FRANK,,1970,11,18
ROLF,,LANGE,,1960,2,25
WERNER,,HOFFMANN,,1933,9,16
ANDYREAS,,MEIER,,1932,4,27
UWE,,SCHMIDT,,1979,12,3
CHRISTIAN,,PETERS,,1940,1,11
DIETER,,FISCHER,,1996,2,6
NORBERT,,KOERTIG,,2004,11,27
HELMUT,,SCHWWRZ,,2006,12,4
BERND,,KOERTIG,,1944,2,23
STEFAN,,KLEIN,,2003,5,6
ANDREAS,,WOLFF,,1953,7,17
PETER,,BAUER,,1941,12,14
WOLFGANG,,SCHAEFER,,1973,7,6
RAINER,,LANGEG,,1948,12,3
GERHARD,,KRAUS,,1966,7,13
THOMAS,,SCHUSTER,,1936,5,18
WOLFGANG,,WALTER,,1975,4,22
DIETER,,WERNER,,1934,2,11
DIETER,,WINKLER,,1953,9,14
JENS,,KUEHN,,1967,9,14
HANS,,VOGEL,,1997,7,15
HARAJLD,,FUCHS,,1954,11,20
HELMUT,,KAISER,,1983,1,14
NILS,,RICHTER,,1983,9,29
UWE,,ZIMMERMANN,,1976,10,13
MICHAEL,,WERNER,,1935,7,5
ANDREAS,,KOEHLER,,1977,11,4
UWE,,LAWGE,,1940,1,23
ERNST,,WERNER,,1964,9,23
WOLFGANG,,LUDWIG,,1927,4,29
MARKUS,JOERG,NEUMANN,,1960,10,13
JENS,,ENGEL,,2006,8,8
JUERGEN,,KRAUSE,,1962,7,1
WILHELM,,SOMMER,,1949,2,24
WOLFGANG,,SCHMIDT,,1962,5,29
WERNER,,SCHMITZ,,2008,9,16
HEINZ,,KAISER,,1943,1,19
WILHELM,,SCHUSTER,,2000,2,7
WILHELM,,MUELLER,,1930,12,18
CHRISTOPH,JUERGEN,WOLF,,1996,2,21
FRANK,,SOMMER,,1961,8,26
WALTER,,HERRMANN,,1993,12,17
VOLEKER,,LORENZ,,1976,1,27
PETER,,SCHMIDT,,1964,11,3
MANFRED,,BECKER,,1992,1,7
HERMANN,,WINKLER,,1942,7,8
ANDREAS,,SCHROEDER,,1978,10,31
WALTER,,KUEHN,,1962,4,15
ANDRE,,SCHNEIDER,,1938,10,11
ANDREAS,,SCHMIRZ,,1988,12,6
PETER,,ALBRECHT,,1968,6,1
WERNER,,KRAUSE,,1985,10,21
DIETER,,SCHMIDT,,1951,7,27
FRANK,,HUBER,,1971,3,31
ROLF,,SCHUBERT,,2004,9,22
HORST,,SCHULZE,,1971,12,25
HORST,ANDREAS,KOCH,,1979,12,5
JAN,,SAUER,,1939,9,22
KAI,,GRAF,,1986,9,4
WOLFGANG,,WOLFF,,1967,2,24
DIETER,,WOLF,,1925,12,8
WILHELM,,KOERTIG,,1979,5,13
HANS,,HOFFMANN,,1995,6,18
DIETER,,FISCHER,,1999,2,6
GERHARD,,GUENTHER,,1985,12,28
FRANK,,FRIEDRICH,,1966,5,25
JOHANNES,,ALBRECHT,,1959,8,13
KLAUS,,HAHN,,1993,12,5
RALF,,LUDWIG,,1965,5,15
DIETER,,FISCHER,,1950,12,16
GERHARD,HELMUT,KOERTIG,,1973,3,5
BERNHARD,,BECKER,,1925,1,10
RALF,,SCHMITT,,1966,6,13
KARL,,THOMAS,,1943,3,8
PETER,,WOLF,,1977,4,24
KLAUS,,KOEHLER,,1943,12,15
GUENTHER,,GRAF,,1964,1,10
THOMAS,STEFAN,KRAUSE,,1976,12,6
ANDREAS,,BECK,,2000,3,7
WOLFGANG,,ALBRECHT,,2007,12,19
HORST,,HOFFMANN,,1929,7,27
DIETER,NILS,SEIDEL,,1964,2,20
ANDREAS,,FISCHER,SCHWARZ,1946,11,26
WERNER,,SOMMER,,1995,11,28
GUENTHER,,BAUER,,1967,9,9
DIETER,SEBASTIAN,VOGT,,1949,5,8
KURT,,MEYER,,1936,1,6
CHRISTIAN,MARCEL,VOGEL,,1992,4,6
KARL,,OTTO,,1987,12,27
GUENTHER,,MEYER,,1977,3,14
MATTHIAS,,WERNER,,1960,10,19
PAUL,,WOLF,,1964,5,12
CARSTEN,,KOERTIG,,1945,12,20
THORSTEN,,BECKER,,1993,9,13
WOLFGANG,,SCHAEFER,,1978,12,19
WOLFGANG,,BECKER,,2004,10,2
GERD,,MAIER,,1957,3,22
MATTHIAS,,SCHULZE,,1963,3,26
HORST,ANDREAS,KOCH,,1979,12,25
PETER,,KUHN,,1981,2,20
PETER,,BECKER,,1930,1,30
HELMUT,,SCHMITT,,1981,9,10
ANDREAS,RALF,KOEHLER,,1958,7,29
MICHAEL,,FISCHER,,2003,2,14
HARALD,,WEISS,,1929,6,1
STEFAN,,MEYER,,1973,2,2
FRANK,,KUEHN,,2002,4,15
GUENTHER,CHRISTIAN,SCHMIDT,,1932,12,12
THOMAS,,WEBER,,1984,10,16
AXEL,,WOLF,,1972,8,12
GUENTHER,WOLFGANG,HERRMANN,,1930,8,3
FRANK,CHRISTIAN,FRANK,,1951,7,34
ROLF,,SCHMITZ,,1939,2,14
HORST,,HOFMANN,,1979,2,25
THOMAS,,SCHREIBER,,1930,3,28
MICHAEL,,SCHOLZ,,1957,12,1
HOLGER,,NEUMANN,,1988,10,26
JOACHIM,,KOERTIG,,1993,10,26
GUENTHER,,KOERTIG,,1962,7,30
WERNER,,SIMON,,1963,5,14
VOLKER,,BECKER,,1953,12,27
STEFAN,,SCHMITT,,1988,9,7
WERNER,,SOMMER,,1987,11,12
DANIEL,,MUELLER,,1954,6,21
OLAF,,BECKER,,1966,8,4
BERND,,MAIER,,1949,8,31
MANFRED,HANS,PETERS,,1987,5,25
SVEN,,ROTH,,1957,2,20
DIETER,,SCHNEIDER,,1963,4,3
UWE,,BAUER,,1971,9,30
CHRISTOPH,,LEHMANN,,1960,11,10
GUENTHER,,BERGER,,1962,5,26
MATTHIAS,,KRUEGER,,1976,1,1
CHRISTIAN,,GRAF,,1980,12,31
THOMAS,,SCHUBERT,,1987,6,21
MATTHIAS,,SCHMITZ,,1941,9,23
ALFRED,,SCHMIDT,,1939,8,30
BERND,,KOERTIG,,1982,11,15
STEFAN,,BERGMANN,,1950,11,5
GUENTHER,,JAETER,,1946,1,14
OTTO,,WOFLF,,1954,12,24
HELMUT,,NEUMANN,,1987,8,9
PETER,,PETERS,,1937,11,27
MICHAEL,,WAGNER,MAIER,1999,2,23
WOLFGANG,,WERNER,,1948,1,8
RALF,,POHL,,1983,6,16
CARSTEN,,OTTO,,1983,1,13
REINHARD,,MEYER,,1962,5,4
NORBERT,,HOFFMANN,,1980,6,25
MARTIN,,BUSCH,,1962,3,28
CHRISTIAN,,WEBER,,1969,5,14
HEINZ,,FRANK,,1978,10,20
MICHAEL,,WINKLER,,1930,11,19
PETER,,SCHMID,,1983,4,28
THOMAS,,WAGNER,,1960,9,26
GERHARD,,FUCHS,,1943,8,17
THORSTEN,,JUNG,,1975,6,4
WILHELM,,HARTMANN,,1979,6,5
UWE,,WERNER,,1965,4,24
KLAUS,,KRAUS,,1957,9,25
THOMAS,,GROSS,,1970,6,22
JENS,,WAGNER,,1986,8,14
KURT,,BOEHM,,1931,2,7
RALF,,MUELLER,,1972,6,9
CHRISTIAN,,BECKER,,1954,3,2
JUERGEN,,SCHMIDT,,1959,1,24
WALTER,,ENGEL,,1947,9,4
THORSTEN,,WINKLER,,1970,4,14
ROBERT,,HORN,,1957,6,7
CARSTEN,,JUNG,,1959,10,19
DIRK,,BRAUN,,1981,8,6
FRANK,,MEYER,,2008,10,18
CHRISTIAN,,LEHMANN,,1994,5,24
ANDREAS,,HARTMANN,,1984,1,5
STEFAN,,SAUER,,1957,11,29
CHRISTIAN,,HARTMANN,,1958,11,25
ROLF,,BECKER,,1928,1,3
WOLFGANG,MANFRED,SAUER,,1969,9,15
JUERGEN,,FRIEDRICH,,1951,6,26
MARTIN,,KUHN,,1936,1,14
ANDRE,,MAIER,,1996,9,17
MICHAEL,,SCHMITZ,,1929,3,2
MAIK,,MAYER,,1971,6,28
DIRK,,SCHREIBER,,1997,3,15
PETER,,MUELLER,,1979,1,20
CHRISTOPH,,WEBER,,1942,1,7
INGO,KARL,SCHMIDT,,1982,3,13
WOLFGANG,,MUELLER,,2002,12,28
UWE,,SCHMITT,,1954,7,18
ALEXANDER,,KRAUSE,,1941,6,9
GUENTHER,,MUELLER,,1956,4,3
JAN,WALTER,JAEGER,,1965,3,24
GUENTHER,,BRAUN,,1930,2,2
CHRISTOPH,,KOEHLER,,1948,2,29
WERNER,,BAUMANN,,1955,9,14
ANDREAS,,MUELLER,,1935,9,4
RAINER,,HUBER,,1967,6,18
UWE,,SCHMIDT,,1950,6,15
ROBERT,,HAAS,,1931,1,24
KLAUS,,FISCHER,,1963,3,13
PETER,,WINTER,,1930,7,14
JAN,,MUELLER,,1974,3,19
STEFAN,,KODHLER,,1963,6,19
WALTER,,ENGEL,,2005,6,7
HELMUT,,BERGMANN,,1932,3,18
HERMANN,,LORENZ,,1951,10,17
VOLKER,,SEIDEL,,1989,8,22
HERMANN,,BECK,,1938,2,13
LARS,,BECKER,,1963,2,8
THOMAS,,HOFFMANN,,1982,10,1
HANS,,KLEIN,,1996,10,26
KURT,,SCHMIDT,,1969,6,25
DIETER,HERMANN,MUELLER,,1970,7,23
JAN,,SCHROEDER,,1971,11,12
PETER,,WAGNER,,2002,4,21
THOMAS,,KRAUSE,,1938,4,4
GERHARD,,FRANK,,1990,7,10
THOMAS,,KAISER,,1680,5,13
MANFRED,,SIMON,,1995,10,9
GERHARD,,MUELLER,,1958,3,12
MARTIN,,SCHMIDT,,2004,2,16
WOLFGANG,,GUENTHER,,1959,7,9
WALTER,,ROTH,,1974,5,30
BERND,,WEBR,,1927,11,6
JOACHIM,,HOFMANN,,2005,12,7
OLAF,,KOEHLER,,1959,1,10
RALF,,BAUEE,,1964,2,16
THOMAS,,MUELLER,,1985,9,13
PHILIPP,,RICHTER,,1933,5,10
RALF,,MUELLER,,1966,2,9
ULRICH,,ROTH,,1969,3,21
KARL,,ALBRECHT,,1953,8,15
STEFAN,,MUELLER,,2008,12,29
MICHAEL,,FRIEDRICH,,1996,9,26
JUERGEN,,SCHNEIDER,,2000,4,22
FRANK,MARTIN,KOERTIG,,1942,4,30
WERNER,,HEINRICH,,1953,4,23
MANFRED,,WEBER,,1953,3,18
JUERGEN,,SCHMIDT,,1969,3,31
THORSTEN,,SCHMIDT,,1940,7,28
MANFRED,,SCHNEIDER,,1950,4,8
FRANK,,ZIMMERMANN,,1933,6,8
GUENTHER,,WEBER,,1960,12,4
KLAUS,,KLEIN,,1971,4,11
STEFAN,,ROTH,,1946,2,9
HANS,,RICHTER,,1986,4,14
STEFAN,,NEUMANN,,1995,1,7
WILHELM,,BERGMANN,,1935,8,11
WOLFGANG,,ZIMMERMANN,,2005,9,16
HARALD,,RICHTER,,1940,8,28
JUERGEN,,BERGMANN,,1960,6,26
HANS,,HOFFMANN,,1943,8,24
MICHAEL,,MUELLER,,1960,11,10
ANDREAS,,MUELLER,,1996,7,19
PETER,,SCHULZE,,1937,9,24
JOERN,,LUDWIG,,1965,10,4
MARTIN,,FRIEDRICH,,1985,11,21
ANDREAS,,MEIER,,1934,4,11
STEFAN,,MUELLER,,1941,6,9
BERND,,BECK,,1940,4,22
